0 -22.764241 -43.111281 0 0.2276707581897922 0.9269179153853394 0.693071014021017 0.2594043835922177 
1 -22.784684 -43.168780 0 1.0606849682961004 1.90412534484524 1.2995277365296742 6.609426125994079  2 1.526
2 -22.792461 -43.181043 0 0.18170617531920352 0.053277062298095576 0.8163707947124876 1.231958689254843  1 1.526 4 0.822 9 1.298
3 -22.807821 -43.236443 0 9.202599428191878 7.827817640328783 2.240206266463324 2.2486293088942304  5 3.121 14 3.564
4 -22.797710 -43.186695 0 0.11344310014287426 0.03667006261461562 1.657819870443181 2.8699012664516177  2 0.822 6 1.131 9 0.958 11 1.100
5 -22.799785 -43.207264 0 0.2623801282207261 0.018056154073689257 1.0094136753195855 2.2451368858828027  3 3.121 6 1.053 11 1.598 14 1.549
6 -22.796439 -43.197647 0 0.10328477199997667 0.023324065940422637 0.43893992165674367 0.6897870317501256  4 1.131 5 1.053 11 1.131
7 -22.882459 -43.550280 0 7.546578452553619 61.26811383644245 39.433800822676005 32.94508821363817  19 7.229 49 9.144 59 3.193 64 6.389 80 2.459 81 7.028 89 5.533 125 12.836 126 11.594 135 18.661
8 -22.809032 -43.310265 0 0.49892805966435066 0.14243067932761655 2.7916006516818928 4.177601669246709  10 1.353 15 1.213 21 3.317
9 -22.804127 -43.180461 0 0.11785288234301038 0.029477900316509247 0.38560604496007933 0.514544275543944  2 1.298 4 0.958 11 1.302 17 0.710 20 2.049
10 -22.810267 -43.323403 0 0.3608158200458478 0.02835099870053994 1.733546921026932 2.519183945993585  8 1.353 12 3.776 16 1.959 21 2.773
11 -22.805683 -43.193049 0 0.12829841223912544 0.01804708830791329 1.6165214010455133 2.3949811683138016  4 1.100 5 1.598 6 1.131 9 1.302 14 1.225 20 2.073
12 -22.812697 -43.360153 0 2.2490468803204475 0.2596237768256362 6.1196763844952615 9.724281108302637  10 3.776 16 1.865 21 4.294 22 4.250 25 1.702 30 2.376 33 2.511
13 -22.818935 -43.292731 0 1.2275714128538482 0.3899520956646971 2.576157351549581 4.577923901139113  15 0.911 18 1.543 26 1.438 34 2.605
