0 -22.870019 -43.603693 0 1.24435262565729 3.6098179443674634 0.4121228630066401 1.4367608116647599  217 2.392 122 2.499 118 2.536 175 2.503
1 -22.926917 -43.497625 0 0.0 5.684232036827667 0.08230249888385571 1.7187876454776247  222 2.413 168 2.517 174 2.505 84 2.413 66 2.517 90 2.505
2 -22.996381 -43.327190 0 0.6104090085799365 2.883834803093934 2.116656523648914 1.5070566531283374  119 2.465 126 2.505 47 2.412 184 2.515 171 2.392
3 -23.011400 -43.585741 0 0.06278506345017901 5.703069221633803 0.0 0.41758668722413184  5 2.410 81 2.516 51 2.503 94 2.411 17 2.516 159 2.220
4 -22.865105 -43.367054 0 0.839128980640598 0.07212113987286387 4.808022665133788 6.423805628550585  215 2.415 16 2.518 193 2.507 82 2.415 29 2.518 10 2.507
5 -23.033074 -43.586272 0 0.0702248761913074 5.6943640332986005 0.0 0.41749504356193246  150 2.516 81 2.502 3 2.410 159 2.376 207 2.439
6 -22.931427 -43.734350 0 0.0 5.769252926861062 0.0 0.9209973951456455  161 2.038 183 2.518 220 2.503 19 2.413 213 2.518
7 -22.990861 -43.542211 0 0.11731043206288763 3.586523679438202 1.6321076021887058 0.4176979344833244  163 2.411 50 2.516 206 2.504 203 2.411 71 2.516 51 2.503
8 -22.977151 -43.649438 0 0.16173658203339392 1.3938828122673397 3.9519665764973486 0.4176932683633123  208 2.033 144 2.517 74 2.503 125 2.412 15 2.517
9 -22.957764 -43.562915 0 0.29480169625713054 4.12235138408837 1.0590968344382232 0.4507465428087549  71 2.412 203 2.517 56 2.504 111 2.412 11 2.517 166 2.504
10 -22.875418 -43.388815 0 3.696846301968696 1.7110508175352919 0.29112883727501526 0.4636225969543908  137 2.414 215 2.518 4 2.507 29 2.415 158 2.518 177 2.506
11 -22.946348 -43.584147 0 0.30157785608439935 2.4839881142862485 2.4185590418975154 0.5027932412931813  166 2.412 9 2.517 111 2.504 214 2.413 37 2.517 219 2.504
12 -22.889206 -43.690292 0 0.3325022808543179 5.021391325801689 0.28008782731488185 0.9214477670400716  140 2.413 57 2.519 79 2.504 52 2.040 95 2.443 196 2.504
13 -22.922343 -43.669600 0 0.41545643838308943 1.3571629522354904 3.7780379832316417 0.9211699218116303  30 2.413 153 2.518 18 2.504 57 2.413 140 2.518 164 2.503
14 -22.965449 -43.261895 0 0.03415797683389721 5.56483360519374 0.17184723317046927 0.15724090233912905  62 2.412 110 2.515 192 2.506 77 2.412 104 2.516 170 2.506
15 -22.965726 -43.670668 0 0.12422326603852979 3.8858459933102365 0.9907862155639934 1.0299919406416873  8 2.517 125 2.503 30 2.412 135 2.517 202 2.472
16 -22.876504 -43.345817 0 0.8875644688229662 0.10583617679317507 4.7232455171276015 7.249020826722079  100 2.414 70 2.517 31 2.507 193 2.415 4 2.518 215 2.507
