0 -22.973615 -43.369673 0 0.41700133785991905 0.1805513779927504 0.07411625460984014 0.1694408989854746  170 0.958 1419 0.958 204 0.936 899 0.916 81 0.915 1348 0.935
1 -23.004048 -43.330449 0 0.09125491877466006 0.07539930500693609 0.6573673703883074 0.21358039108289126  249 0.958 1081 0.892 50 0.935 1155 0.915 283 0.958
2 -22.910064 -43.429605 0 0.0 0.8182199582440938 0.0027126527837227576 0.2755124422317376  189 0.959 1311 0.916 79 0.916 1095 0.936 942 0.959 1426 0.936
3 -22.971209 -43.403425 0 0.03684164231804879 0.3862140468608109 0.13293475401878815 0.16877561156439042  615 0.915 1340 0.915 334 0.936 181 0.936 461 0.958 1519 0.958
4 -23.000334 -43.354950 0 0.5451665603325929 0.013942708941231128 0.2558393493562703 0.213582277956609  215 0.915 1397 0.958 48 0.958 569 0.889 1553 0.935 112 0.935
5 -22.900501 -43.616826 0 0.014721859930507283 0.5004671722409714 0.2827388144781629 0.5090572433886784  399 0.958 1336 0.937 967 0.937 825 0.916 659 0.916 1288 0.958
6 -23.020180 -43.598079 0 0.0 0.7721582732736139 0.0 0.05371775366478002  741 0.889 330 0.939 1570 0.932 1284 0.937 167 0.969 230 0.913
7 -22.800481 -43.217994 0 0.026820681216971683 0.7592196107185806 0.03976578390628952 0.09201481655484735  1114 0.937 363 0.899 66 0.937 633 0.960 1412 0.917 1452 0.960
8 -22.935265 -43.353380 0 0.1538364001482175 0.13837568796074678 0.5130366823860752 0.6423746058190629  1045 0.936 917 0.936 1222 0.916 714 0.959 1588 0.959 1517 0.916
9 -22.897346 -43.441590 0 0.0021389944984327516 0.14321913767805042 0.6794367345322264 0.523978372107007  934 0.959 1546 0.916 1085 0.936 1304 0.959 1426 0.936 733 0.916
10 -22.866424 -43.376306 0 0.20284426684979778 0.092011643596338 0.4832762337136135 0.5605948424859862  751 0.936 1495 0.936 671 0.917 34 0.916 147 0.959 1306 0.959
