0 -22.928032 -43.454627 0 0.0 5.699208760395898 0.06565252841913169 1.1004031908324687  15 2.505 35 2.517 88 2.413 90 2.413 221 2.505 155 2.517
1 -22.922055 -43.260855 0 0.37229568479630687 1.3322278222775454 4.00111969061312 6.903433634992517  188 2.507 87 2.413 148 2.517 203 2.414 194 2.516 14 2.506
2 -22.851558 -43.474326 0 1.2917376540204535 0.9790666596965664 3.025163189222657 2.702954014886399  32 2.499 91 2.518 206 2.408 27 2.519
3 -22.915506 -43.518859 0 0.06308902806881228 2.9120334183817285 2.3366248216902825 1.46188398793112  133 2.517 58 2.413 63 2.518 118 2.505 139 2.414 123 2.505
4 -22.882384 -43.539562 0 0.1779544048786628 2.145923152961607 2.899600639684755 1.8817558717388827  177 2.505 63 2.414 193 2.518 139 2.518 220 2.506 83 2.414
5 -22.833067 -43.344771 0 1.799567378565277 0.04926716089125982 3.7389051635090196 7.305513714932153  61 2.507 19 2.508 171 2.518 150 2.415 140 2.518 125 2.305
6 -22.878937 -43.668532 0 0.21291345884816237 3.323780424793291 1.7050179888741555 1.0428403337952545  212 2.519 44 2.504 39 2.301 12 2.507 198 2.414
7 -22.853703 -43.388291 0 2.263120245732552 1.7233355529035466 1.5899134307304834 1.550192720579823  61 2.507 70 2.415 75 2.507 136 2.518 138 2.415 184 2.518
8 -22.841666 -43.578679 0 0.0 2.97094748919349 0.025756510664546973 0.7658925692422391  129 2.067 59 2.021
9 -22.888966 -43.281576 0 1.0062683090848497 0.0 4.678541531640693 9.151576111058178  202 2.507 203 2.517 148 2.414 152 2.415 111 2.517 187 2.507
10 -22.913230 -43.604847 0 0.47643782693189457 0.6909915549615234 4.335775188063793 3.889814659432575  45 2.518 48 2.504 66 2.518 69 2.414 23 2.413 156 2.504
11 -22.965726 -43.670668 0 0.12422326603884976 3.885845993313272 0.9907862155634661 1.0299919406418112  189 2.517 112 2.517 214 2.412 119 2.472 93 2.503
12 -22.868808 -43.646667 0 0.7769634298336954 3.214812880621614 0.6207384047924729 1.761306323502361  212 2.398 161 2.501 6 2.507
13 -22.899053 -43.754693 0 1.9429156370399436 3.0451062152139508 0.02266512282704028 0.8470913739816249  180 2.509 167 2.329 223 2.486 197 2.446
14 -22.932376 -43.282618 0 0.008716845756414203 5.7019677665783615 0.05580215582733539 2.0813498665678787  1 2.506 199 2.506 216 2.413 87 2.516 148 2.413 72 2.516
15 -22.917735 -43.432864 0 0.13749242644262255 5.17804664308974 0.38267419977548106 1.2744441862543305  201 2.506 192 2.517 35 2.413 88 2.517 94 2.414
16 -22.879831 -43.218483 0 2.8817011120859606 0.09123451463402436 0.9349329179680126 1.5145335060901213  65 2.410 52 2.456 108 2.349
17 -22.945198 -43.627141 0 0.27564696932581073 5.127788388478683 0.3345979539101544 0.8940934789350251  18 2.412 36 2.518 23 2.504 93 2.503 156 2.413 128 2.517
18 -22.966888 -43.627674 0 0.22013460260253623 4.237029936946152 1.0768967719005036 0.41774939117790666  112 2.503 17 2.412 76 2.411 182 2.517 93 2.517 128 2.503
19 -22.822742 -43.323011 0 1.281925936983177 0.31999800094113795 3.808945197496048 6.987852400016659  84 2.382 5 2.508 116 2.518 171 2.416 125 2.464
20 -22.970303 -43.498682 0 0.19542144002557682 4.009200711094781 1.4349555187643952 0.18885202646092267  213 2.504 99 2.412 77 2.516 137 2.517 151 2.411 54 2.504
21 -22.856924 -43.259294 0 1.034716690523753 0.12271284572199788 4.562387198570691 8.137022978176255  50 2.320 135 2.188 202 2.415 65 2.485 152 2.508 104 2.518
22 -22.881247 -43.582554 0 0.2545702771940719 0.6956930099297058 4.461831337320599 1.465605993249137  177 2.518 59 2.405 31 2.499 48 2.414 193 2.505 69 2.505
23 -22.934928 -43.605379 0 0.04668393846858997 4.828020109268334 0.7694400786006496 1.7987324158274671  45 2.504 17 2.504 183 2.517 10 2.413 156 2.518 128 2.412
24 -22.932606 -43.691362 0 0.311656907528948 0.724983136896883 4.447372021803269 0.921045701725037  189 2.412 53 2.518 214 2.518 41 2.413 103 2.503 106 2.503
25 -22.885727 -43.410577 0 0.5842831835074909 1.4000849359765555 3.703600901555246 2.9689083134912466  85 2.518 201 2.414 75 2.415 219 2.518 138 2.506 94 2.506
26 -23.014608 -43.456827 0 0.38394285472783185 1.2486885936305945 3.748447240321554 1.3925094485125722  56 2.392 95 2.454 113 2.503 34 2.498
27 -22.862912 -43.453047 0 0.639929003363261 0.40987970426337567 4.575871008638488 4.45777075040743  2 2.519 98 2.506 74 2.415 219 2.518 206 2.506
28 -22.994207 -43.413203 0 0.643832407692033 2.374233236853184 1.9600690317131209 1.3178300028078747  113 2.504 218 2.516 146 2.504 120 2.412 153 1.934 210 2.452
29 -22.974695 -43.326667 0 0.16958225007741676 3.792047976878035 1.5960322490640217 1.322865614871649  191 2.516 51 2.412 166 2.412 102 2.505 142 2.516 209 2.505
30 -22.791212 -43.174739 0 0.3621360690500552 0.7807881402963247 2.36747390777272 5.19088776705824  196 2.426
31 -22.870019 -43.603693 0 1.2443526256575808 3.60981794436771 0.41212286300606776 1.4367608116648025  59 2.536 161 2.503 22 2.499 69 2.392
32 -22.861798 -43.496041 0 0.37728631124042916 2.1085316902607243 3.1167421785411644 3.3029304934235757  2 2.499 91 2.415 220 2.506 206 2.518 80 2.414 141 2.519
