0 -23.071036 -43.560384 0 0.0 1.70862530082518 0.18550738228329655 0.04639321591420173  1 1.061 7 1.702 8 2.463 6 4.573
1 -23.072987 -43.550234 0 0.0 0.028037487316003633 0.0 3.458713983510399e-05  0 1.061 8 2.135 9 4.149 7 2.382
2 -23.081797 -43.208199 0 0.0 0.008845391048382653 0.0 0.0011332561764174375  3 1.906
3 -23.070122 -43.194559 0 0.0 0.532374375442024 0.0 0.5675947294435607  2 1.906 10 5.107
4 -23.050913 -43.660100 0 0.0 0.35147384278803406 0.0 0.020780688111255857  5 1.941 11 0.684 12 2.559
5 -23.050266 -43.641141 0 0.0012675273471269212 0.8352502332059424 0.0 0.0457901342246368  6 4.290 4 1.941 12 1.006 13 4.007 11 2.004
6 -23.050649 -43.599207 0 0.005358960407496974 1.0344264933781089 0.0 0.05847724039372143  7 3.574 5 4.290 13 1.173 14 3.332 0 4.573 12 3.983
7 -23.056276 -43.564813 0 0.17670290768385669 4.597919540591589 0.5211786723821048 0.2783348453843079  8 2.112 6 3.574 14 1.761 0 1.702 15 3.625 1 2.382 13 4.301
8 -23.054588 -43.544248 0 0.022719987798858223 1.9241801027382233 0.016542587995639832 0.007104403029025744  9 3.513 7 2.112 15 1.886 1 2.135 16 4.322 14 2.912 0 2.463
9 -23.063005 -43.511148 0 0.0 0.24373557771331023 0.0 0.00028300695582584835  8 3.513 16 2.819 17 5.187 15 3.387 1 4.149
10 -23.062390 -43.145341 0 0.008188283017918295 0.30870865507477896 0.0 0.298378546958366  21 6.229 3 5.107
11 -23.044771 -43.659798 0 0.0 0.9189189070484525 0.0 0.06350536179925355  12 2.351 4 0.684 22 5.102 5 2.004
12 -23.042059 -43.637007 0 0.03254122082569109 6.035779778310692 0.0 0.4396046485535332  13 3.447 11 2.351 22 3.345 5 1.006 23 4.413 6 3.983 4 2.559
13 -23.040810 -43.603345 0 0.043848857306659966 7.217105076932661 0.0 0.5258776604044019  14 3.570 12 3.447 23 1.967 6 1.173 24 4.033 7 4.301 22 3.335 5 4.007
14 -23.040795 -43.568446 0 0.0 6.89570573022014 0.3059340567589567 0.48128099469126134  15 3.556 13 3.570 24 1.873 7 1.761 25 4.035 8 2.912 23 3.647 6 3.332
15 -23.040686 -43.533689 0 0.00015431963759068916 7.118370770038757 0.05790964524790304 0.19838347155706784  16 2.848 14 3.556 25 1.861 8 1.886 26 4.045 9 3.387 24 4.013 7 3.625
16 -23.038093 -43.505991 0 0.09735670011658291 2.9790530630151277 0.05473904108565891 0.22385484500109154  17 3.689 15 2.848 26 1.745 9 2.819 27 4.436 25 3.226 8 4.322
17 -23.035707 -43.470028 0 0.0012794966524277088 0.1776739647642476 0.0 0.03145781706207841  16 3.689 27 1.537 28 4.204 26 3.201 9 5.187
18 -23.040813 -43.309336 0 0.0 0.03627242042001155 0.0 0.002868520839211527  19 0.878 30 2.775 31 2.728
19 -23.035745 -43.302757 0 0.0 0.11139826845829853 0.0 0.016239034534710383  18 0.878 31 1.886 30 2.288
20 -23.038801 -43.205711 0 0.0 0.13237937185612988 0.0 0.12292784678558297  21 0.746 32 1.374 33 2.081
21 -23.036024 -43.199070 0 0.0 0.07692232919432519 0.0 0.07171800162899383  20 0.746 33 1.394 10 6.229 32 1.163
22 -23.015718 -43.621202 0 0.0 0.003803983977947351 0.0 0.0  23 2.453 35 1.756 12 3.345 36 2.060 13 3.335 34 4.440 11 5.102
23 -23.023618 -43.598816 0 0.0 5.027865641825642 0.0 0.35170841609077175  24 3.108 22 2.453 36 1.894 13 1.967 37 3.609 14 3.647 35 4.082 12 4.413
24 -23.023951 -43.568446 0 0.10423417023516884 6.754654621731961 0.40377423327325473 0.4802925642650199  25 3.574 23 3.108 37 1.873 14 1.873 38 4.035 15 4.013 36 4.035 13 4.033
25 -23.023951 -43.533517 0 0.07714409888165463 6.206249115055462 0.9215590495789054 1.072578115120868  26 3.574 24 3.574 38 1.873 15 1.861 39 4.035 16 3.226 37 4.035 14 4.035
26 -23.023951 -43.498589 0 0.318630777666486 3.1776636174292614 2.4492216303420964 1.596419416887208  27 3.324 25 3.574 39 1.873 16 1.745 40 4.035 17 3.201 38 4.035 15 4.045
27 -23.022348 -43.466149 0 0.32760256884899486 1.05842243865021 4.048384618325873 1.3286798990020257  28 3.349 26 3.324 40 1.713 17 1.537 41 4.187 39 3.727 16 4.436
28 -23.017903 -43.433778 0 0.04268566554693599 1.5702624831503391 0.02566506846343826 0.37847699428457715  29 2.478 27 3.349 41 1.307 42 4.220 40 3.285 17 4.204
29 -23.015741 -43.409673 0 0.0 0.018787671308041546 0.0 0.0005215326204633217  28 2.478 42 1.872 43 5.312 41 2.174
30 -23.015867 -43.308537 0 0.0 0.03771978727405725 0.0 0.002270019022751949  31 1.653 44 1.833 18 2.775 45 1.949 19 2.288 43 5.309
31 -23.021121 -43.293421 0 0.004495835379543402 0.15421176009691503 0.025554166177597017 0.013697149024824233  30 1.653 45 1.686 19 1.886 46 4.489 44 3.453 18 2.728
32 -23.026556 -43.203898 0 0.0 0.09582212217458219 0.0 0.07640659537435787  33 1.336 20 1.374 21 1.163 46 6.145
33 -23.026020 -43.190855 0 0.0 0.1661940167211829 0.0 0.12263055317043953  32 1.336 21 1.394 20 2.081
34 -22.999315 -43.660759 0 0.0 0.0037989387134560546 0.0 0.0  35 2.950 48 1.664 49 2.510 22 4.440 47 3.968
35 -23.003702 -43.632333 0 0.06002931105555673 1.2688557837452437 1.620466231609533 0.48373199024555413  36 2.988 34 2.950 49 1.614 22 1.756 50 3.319 23 4.082 48 4.162
